HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.http.policy,dfs.client.domain.socket.data.traffic,dfs.namenode.checkpoint.period
dfs.namenode.fs-limits.max-component-length,dfs.data.transfer.protection,dfs.namenode.top.enabled
dfs.namenode.fs-limits.min-block-size,dfs.datanode.dns.interface,dfs.namenode.replication.min
dfs.namenode.acls.enabled,dfs.datanode.failed.volumes.tolerated,dfs.datanode.sync.behind.writes
dfs.block.access.token.enable,dfs.metrics.percentiles.intervals,
dfs.client.block.write.replace-datanode-on-failure.enable,,
dfs.client.block.write.replace-datanode-on-failure.policy,,
dfs.heartbeat.interval,,
dfs.namenode.resource.checked.volumes.minimum,,
dfs.namenode.max.objects,,
dfs.namenode.decommission.interval,,
dfs.datanode.plugins,,
dfs.namenode.plugins,,
dfs.stream-buffer-size,,
dfs.client-write-packet-size,,
dfs.namenode.delegation.key.update-interval,,
dfs.namenode.delegation.token.renew-interval,,
dfs.image.compress,,
dfs.image.compression.codec,,
dfs.image.transfer.timeout,,
dfs.image.transfer.bandwidthPerSec,,
dfs.image.transfer.chunksize,,
dfs.datanode.drop.cache.behind.reads,,
dfs.datanode.drop.cache.behind.writes,,
dfs.client.failover.connection.retries,,
dfs.client.failover.connection.retries.on.timeouts,,
dfs.ha.automatic-failover.enabled,,
dfs.webhdfs.enabled,,
hadoop.user.group.metrics.percentiles.intervals,,
dfs.encrypt.data.transfer,,
dfs.client.cache.drop.behind.writes,,
dfs.client.cache.readahead,,
dfs.namenode.retrycache.expirytime.millis,,
dfs.client.mmap.enabled,,
dfs.client.mmap.cache.timeout.ms,,
dfs.datanode.max.locked.memory,,
dfs.datanode.fsdatasetcache.max.threads.per.volume,,
dfs.client.context,,
dfs.client.slow.io.warning.threshold.ms,,
dfs.namenode.fs-limits.max-xattr-size,,
dfs.namenode.startup.delay.block.deletion.sec,,
dfs.namenode.list.encryption.zones.num.responses,,
dfs.datanode.cache.revocation.timeout.ms,,
dfs.namenode.top.window.num.buckets,,
dfs.namenode.blocks.per.postponedblocks.rescan,,
dfs.namenode.resource.checked.volumes,,
dfs.namenode.write.stale.datanode.ratio,,
nfs.rtmax,,
nfs.wtmax,,
