HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.nm.liveness-monitor.expiry-interval-ms,yarn.dispatcher.drain-events.timeout,yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,yarn.resourcemanager.nm-container-queuing.min-queue-length,
yarn.resourcemanager.delegation-token.max-conf-size-bytes,yarn.sharedcache.admin.thread-count,yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage
yarn.resourcemanager.nodemanagers.heartbeat-interval-speedup-factor,yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,yarn.nodemanager.delete.thread-count
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.enable-batch,yarn.timeline-service.recovery.enabled,
yarn.resourcemanager.delegation.key.update-interval,yarn.resourcemanager.am.global.max-attempts,
yarn.resourcemanager.reservation-system.enable,yarn.nodemanager.resource.memory-mb,
yarn.resourcemanager.reservation-system.planfollower.time-step,yarn.nodemanager.recovery.enabled,
yarn.nodemanager.collector-service.thread-count,,
yarn.nodemanager.localizer.cache.cleanup.interval-ms,,
yarn.log-aggregation-enable,,
yarn.resourcemanager.application-tag-based-placement.enable,,
yarn.log-aggregation.retain-seconds,,
yarn.nodemanager.remote-app-log-dir-include-older,,
yarn.nodemanager.resource.memory.enabled,,
yarn.nodemanager.vmem-pmem-ratio,,
yarn.nodemanager.resource.count-logical-processors-as-cores,,
yarn.nodemanager.resource.detect-hardware-capabilities,,
yarn.nodemanager.container-monitor.enabled,,
yarn.nodemanager.container-log-monitor.enable,,
yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,,
yarn.nodemanager.health-checker.timeout-ms,,
yarn.nodemanager.disk-health-checker.min-healthy-disks,,
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,,
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,,
yarn.nodemanager.linux-container-executor.cgroups.mount,,
yarn.nodemanager.runtime.linux.docker.default-ro-mounts,,
yarn.nodemanager.runtime.linux.docker.default-rw-mounts,,
yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,,
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,,
yarn.nodemanager.aux-services.manifest.enabled,,
yarn.nodemanager.sleep-delay-before-sigkill.ms,,
yarn.client.nodemanager-client-async.thread-pool-max-size,,
yarn.nodemanager.recovery.compaction-interval-secs,,
yarn.nodemanager.container-metrics.unregister-delay-ms,,
yarn.nodemanager.log.deletion-threads-count,,
yarn.resourcemanager.proxy.connection.timeout,,
yarn.timeline-service.generic-application-history.max-applications,,
yarn.timeline-service.ttl-ms,,
yarn.timeline-service.client.retry-interval-ms,,
yarn.timeline-service.client.internal-timers-ttl-secs,,
yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,,
yarn.timeline-service.app-aggregation-interval-secs,,
yarn.sharedcache.nested-level,,
yarn.sharedcache.store.in-memory.staleness-period-mins,,
yarn.sharedcache.store.in-memory.initial-delay-mins,,
yarn.sharedcache.store.in-memory.check-period-mins,,
yarn.sharedcache.cleaner.period-mins,,
yarn.sharedcache.nm.uploader.thread-count,,
yarn.node-labels.enabled,,
yarn.nodemanager.node-labels.provider,,
yarn.nodemanager.node-labels.provider.fetch-interval-ms,,
yarn.nodemanager.node-labels.provider.fetch-timeout-ms,,
yarn.http.rmwebapp.external.classes,,
yarn.http.rmwebapp.custom.dao.classes,,
yarn.client.application-client-protocol.poll-interval-ms,,
yarn.client.application-client-protocol.poll-timeout-ms,,
yarn.cluster.max-application-priority,,
yarn.resourcemanager.opportunistic-container-allocation.nodes-used,,
yarn.resourcemanager.nm-container-queuing.max-queue-length,,
yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,,
yarn.resourcemanager.node-removal-untracked.timeout-ms,,
yarn.nodemanager.resource-plugins.fpga.path-to-discovery-executables,,
yarn.resourcemanager.activities-manager.app-activities.ttl-ms,,
yarn.resourcemanager.application.max-tags,,
yarn.dispatcher.print-events-info.threshold,,
yarn.webapp.enable-rest-app-submissions,,
yarn.nodemanager.resourcemanager.connect.max-wait.ms,,
yarn.nodemanager.resource-monitor.interval-ms,,
yarn.resourcemanager.resource-profiles.enabled,,
yarn.resourcemanager.delegation.token.max-lifetime,,
yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,,
