,All Options,True Performance-related,Manual Performance-related,Code Performance-related,ManualTP,CodeTP,ManualFP,CodeFP,ManualFN,CodeFN
httpd,77,13,37,36,13,10,24,26,0,3
lighttpd,62,17,36,38,16,15,20,23,1,2
nginx,79,5,52,47,5,5,47,42,0,0
redis,115,26,81,75,26,26,55,49,0,0
mysql,103,19,72,68,19,17,53,51,0,2
hdfs,223,45,112,84,41,42,71,42,4,3
mapreduce,218,39,106,93,36,35,70,58,3,4
hbase,227,25,74,64,25,24,49,40,0,1
yarn,545,66,176,141,65,63,111,99,1,3
tomcat,45,9,32,26,9,9,23,17,0,0
