ConfigurationA,ConfigurationB,performance-sensitive,performance-sensitive,source
yarn.nm.liveness-monitor.expiry-interval-ms,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,1,0,both
yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.system-reserved-memory-mb,1,1,both
yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.pcores-vcores-multiplier,1,0,both
yarn.nodemanager.linux-container-executor.cgroups.mount,yarn.nodemanager.linux-container-executor.cgroups.mount-path,1,0,both
yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.count-logical-processors-as-cores,1,1,both
yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-interval-ms,1,1,code
yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,1,1,both
yarn.nodemanager.resource.count-logical-processors-as-cores,yarn.nodemanager.resource.cpu-vcores,1,1,both
yarn.nodemanager.resource.cpu-vcores,yarn.nodemanager.resource.detect-hardware-capabilities,1,1,both
yarn.nodemanager.elastic-memory-control.enabled,yarn.nodemanager.resource.detect-hardware-capabilities,0,1,both
yarn.nodemanager.disk-health-checker.min-healthy-disks,yarn.nodemanager.local-dirs,1,0,both
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,yarn.nodemanager.disk-health-checker.disk-utilization-threshold.enabled,1,1,manual
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,1,1,manual
