server.bsd-accept-filter,5.36%
server.defer-accept,6.13%
server.network-backend,70.32%
server.range-requests,5.86%
connection.kbytes-per-second,timeout
server.kbytes-per-second,timeout
server.max-request-size,2.18%
server.max-keep-alive-idle,5.91%
server.max-read-idle,5.91%
server.stream-request-body,0.67%
server.stream-response-body,2.54%
etag.use-inode,5.56%
etag.use-mtime,4.00%
etag.use-size,6.58%
server.compat-module-load,82.97%
server.systemd-socket-activation,3.23%
server.errorlog-use-syslog,5.72%
server.max-worker,47.37%
server.max-connections,5.85%
server.max-request-field-size,82.45%
server.upload-temp-file-size,3.25%
server.http-parseopt-header-strict,3.48%
server.http-parseopt-host-strict,0.62%
server.stat-cache-engine,6.27%
server.listen-backlog,0.87%
server.use-ipv6,timeout
server.document-root,0.78%
server.name,0.94%
server.tag,0.79%
server.max-keep-alive-requests,3.84%
server.max-write-idle,4.22%
server.errorfile-prefix,3.70%
server.error-handler,4.30%
server.error-handler-404,1.63%
server.error-intercept,4.92%
server.force-lowercase-filenames,2.58%
server.follow-symlink,2.00%
server.protocol-http11,3.90%
mimetype.assign,3.38%
mimetype.use-xattr,1.67%
server.errorlog,1.46%
server.breakagelog,2.55%
server.modules,3.04%
server.port,0.33%
server.bind,0.56%
server.chroot,2.46%
server.username,0.03%
server.groupname,0.43%
server.syslog-facility,4.13%
server.core-files,2.26%
server.event-handler,2.97%
server.pid-file,3.56%
server.max-fds,2.44%
server.chunkqueue-chunk-sz,3.43%
server.upload-dirs,1.29%
server.http-parseopts,3.85%
server.http-parseopt-host-normalize,1.80%
server.reject-expect-100-with-417,4.45%
mimetype.xattr-name,2.87%
server.feature-flags,2.89%
server.v4mapped,1.05%
server.socket-perms,3.98%
