max_heap_table_size,5.67%
tmp_table_size,5.17%
end_markers_in_json,2.77%
windowing_use_high_precision,2.83%
optimizer_trace_offset,1.20%
optimizer_trace_limit,2.05%
optimizer_trace_max_mem_size,0.21%
autocommit,3.34%
join_buffer_size,3.88%
lock_wait_timeout,0.22%
max_allowed_packet,1.86%
max_error_count,0.46%
max_length_for_sort_data,0.43%
max_points_in_geometry,3.36%
max_sort_length,1.21%
wait_timeout,31.33%
net_write_timeout,1.21%
optimizer_prune_level,21.18%
optimizer_search_depth,5.57%
parser_max_mem_size,1.55%
range_optimizer_max_mem_size,27.00%
read_buffer_size,5.12%
read_rnd_buffer_size,1.02%
div_precision_increment,1.53%
sort_buffer_size,6.10%
max_sp_recursion_depth,3.66%
default_week_format,4.23%
max_seeks_for_key,5.42%
range_alloc_block_size,4960.89%
query_alloc_block_size,41.09%
transaction_alloc_block_size,5.67%
transaction_prealloc_size,5.38%
group_concat_max_len,3.42%
completion_type,3.16%
updatable_views_with_limit,1.26%
max_user_connections,6.77%
block_encryption_mode,3.91%
low_priority_updates,2.62%
new,2.98%
keep_files_on_create,3.47%
old_alter_table,0.62%
big_tables,1.72%
default_storage_engine,1.58%
default_tmp_storage_engine,2.70%
character_set_filesystem,1.62%
character_set_server,3.37%
explicit_defaults_for_timestamp,3.16%
long_query_time,2.32%
session_track_gtids,0.53%
max_execution_time,3.98%
information_schema_stats_expiry,5.05%
show_create_table_verbosity,2.98%
show_old_temporals,3.97%
internal_tmp_mem_storage_engine,3.01%
secondary_engine_cost_threshold,4.04%
sql_generate_invisible_primary_key,0.33%
show_gipk_in_create_table_and_information_schema,2.88%
default_table_encryption,3.37%
print_identified_with_as_hex,2.34%
generated_random_password_length,5.72%
select_into_buffer_size,5.90%
select_into_disk_sync,2.06%
select_into_disk_sync_delay,6.56%
connection_memory_limit,33.58%
connection_memory_chunk_size,2.26%
global_connection_memory_tracking,2.97%
explain_format,2.69%
optimizer_switch,3.06%
optimizer_trace,2.85%
optimizer_trace_features,2.64%
sql_mode,3.76%
sql_select_limit,3.46%
max_join_size,2.96%
bulk_insert_buffer_size,1.64%
eq_range_index_dive_limit,1.59%
cte_max_recursion_depth,3.15%
histogram_generation_max_mem_size,1.72%
max_insert_delayed_threads,2.97%
min_examined_row_limit,1.67%
net_buffer_length,1.93%
interactive_timeout,3.60%
net_read_timeout,3.96%
net_retry_count,1.73%
preload_buffer_size,3.24%
profiling_history_size,2.85%
query_prealloc_size,1.94%
rbr_exec_mode,3.73%
transaction_isolation,2.80%
transaction_read_only,2.30%
character_set_client,3.24%
character_set_results,1.88%
character_set_database,1.98%
character_set_connection,3.07%
lc_messages,1.51%
lc_time_names,3.73%
time_zone,1.97%
session_track_system_variables,2.41%
session_track_schema,3.69%
session_track_state_change,3.81%
session_track_transaction_info,3.90%
default_collation_for_utf8mb4,2.65%
use_secondary_engine,1.81%
show_create_table_skip_secondary_engine,1.95%
