HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,mapreduce.reduce.input.buffer.percent,mapreduce.map.output.compress
yarn.app.mapreduce.am.hard-kill-timeout-ms,mapreduce.reduce.shuffle.retry-delay.max.ms,yarn.app.mapreduce.am.job.committer.commit-window
mapreduce.task.skip.start.attempts,mapreduce.job.cache.limit.max-single-resource-mb,mapreduce.jobhistory.loadedtasks.cache.size
mapreduce.task.io.sort.mb,yarn.app.mapreduce.am.webapp.https.client.auth,mapreduce.map.skip.proc-count.auto-incr
mapreduce.task.io.sort.factor,mapreduce.task.timeout,mapreduce.task.merge.progress.records
mapreduce.shuffle.transferTo.allowed,mapreduce.reduce.node-label-expression,
mapreduce.shuffle.transfer.buffer.size,mapreduce.jobhistory.loadedjobs.cache.size,
mapreduce.reduce.skip.proc-count.auto-incr,mapreduce.job.encrypted-intermediate-data,
mapreduce.reduce.shuffle.read.timeout,mapreduce.job.am.node-label-expression,
mapreduce.reduce.shuffle.parallelcopies,mapreduce.task.stuck.timeout-ms,
mapreduce.reduce.shuffle.fetch.retry.timeout-ms,mapreduce.jobhistory.webapp.rest-csrf.enabled,
mapreduce.reduce.shuffle.connect.timeout,,
mapreduce.reduce.merge.inmem.threshold,,
mapreduce.reduce.memory.mb,,
mapreduce.map.sort.spill.percent,,
mapreduce.map.node-label-expression,,
mapreduce.map.memory.mb,,
mapreduce.jobhistory.move.thread-count,,
mapreduce.jobhistory.loadedjob.tasks.max,,
mapreduce.job.ubertask.maxbytes,,
mapreduce.job.tags,,
mapreduce.job.split.metainfo.maxsize,,
mapreduce.job.speculative.retry-after-speculate,,
mapreduce.job.running.map.limit,,
mapreduce.job.reduces,,
mapreduce.job.reducer.unconditional-preempt.delay.sec,,
mapreduce.job.reducer.preempt.delay.sec,,
mapreduce.job.reduce.slowstart.completedmaps,,
mapreduce.job.node-label-expression,,
mapreduce.job.max.split.locations,,
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,,
mapreduce.job.local-fs.single-disk-limit.bytes,,
mapreduce.job.heap.memory-mb.ratio,,
mapreduce.job.end-notification.retry.attempts,,
mapreduce.job.end-notification.max.retry.interval,,
mapreduce.job.end-notification.max.attempts,,
mapreduce.job.cache.limit.max-resources-mb,,
mapreduce.input.lineinputformat.linespermap,,
mapreduce.client.progressmonitor.pollinterval,,
mapreduce.jobhistory.cleaner.enable,,
