name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.tmp.dir,"(29516.34, 31016.87, 31016.95)","(1762.30, 1777.91, 1777.90)","(1831.51, 1868.45, 1868.48)"
hbase.rootdir,"(29704.66, 31016.88, 31016.90)","(1761.12, 1777.91, 1777.91)","(1823.01, 1868.46, 1868.48)"
hbase.cluster.distributed,"(0.00, 31017.13)","(1729.88, 1777.89)","(1950.80, 1868.43)"
hbase.zookeeper.quorum,"(0.00, 31017.85, 31016.75)","(1716.61, 1777.91, 1777.90)","(31289.11, 1855.74, 1863.09)"
zookeeper.recovery.retry.maxsleeptime,"(31121.16, 31016.91, 31016.91)","(1742.56, 1777.89, 1777.91)","(1878.66, 1868.46, 1868.46)"
hbase.local.dir,"(30385.45, 31016.92, 31016.90)","(1742.95, 1777.90, 1777.90)","(1959.54, 1868.51, 1868.46)"
hbase.master.port,"(31890.08, 31016.89, 31016.90)","(1719.23, 1777.92, 1777.92)","(1842.99, 1868.45, 1868.47)"
hbase.master.info.port,"(30770.25, 31016.92, 31016.91)","(1787.79, 1777.91, 1777.91)","(1886.52, 1868.47, 1868.47)"
hbase.master.info.bindAddress,"(30935.85, 31016.91, 31016.91)","(1786.41, 1777.90, 1777.91)","(1789.82, 1868.47, 1868.49)"
hbase.master.logcleaner.plugins,"(30249.76, 31016.91, 31016.90)","(1808.38, 1777.90, 1777.91)","(1894.31, 1868.47, 1868.45)"
hbase.master.logcleaner.ttl,"(0.00, 31016.16, 31017.63)","(1690.03, 1777.87, 1777.91)","(42087.54, 1873.50, 1853.41)"
hbase.master.hfilecleaner.plugins,"(32427.33, 31016.92, 31016.87)","(1739.35, 1777.91, 1777.92)","(1805.68, 1868.49, 1868.43)"
hbase.master.infoserver.redirect,"(33178.50, 31016.97)","(1794.15, 1777.91)","(32393.91, 1868.63)"
hbase.master.fileSplitTimeout,"(30841.22, 31016.91, 31016.92)","(1779.47, 1777.91, 1777.90)","(1871.61, 1868.46, 1868.47)"
hbase.regionserver.port,"(31106.20, 31016.91, 31016.91)","(1727.59, 1777.89, 1777.90)","(1936.19, 1868.44, 1868.49)"
hbase.regionserver.info.port,"(31709.53, 31016.93, 31016.92)","(1846.90, 1777.90, 1777.90)","(1796.37, 1868.49, 1868.47)"
hbase.regionserver.info.bindAddress,"(30375.29, 31016.90, 31016.90)","(1865.36, 1777.86, 1777.95)","(1859.95, 1868.47, 1868.46)"
hbase.regionserver.info.port.auto,"(32443.33, 31016.95)","(1777.17, 1777.90)","(1953.56, 1868.50)"
hbase.regionserver.handler.count,"(30970.70, 31016.91, 31016.91)","(1766.69, 1777.90, 1777.90)","(1853.15, 1868.47, 1868.46)"
hbase.ipc.server.callqueue.handler.factor,"(32554.88, 31016.95, 31016.89)","(1725.38, 1777.88, 1777.89)","(1861.84, 1868.46, 1868.47)"
hbase.ipc.server.callqueue.read.ratio,"(30769.04, 31016.92, 31016.91)","(1765.63, 1777.90, 1777.90)","(1876.04, 1868.46, 1868.47)"
hbase.ipc.server.callqueue.scan.ratio,"(31975.44, 31016.91, 31016.92)","(1795.87, 1777.91, 1777.91)","(1884.29, 1868.46, 1868.46)"
hbase.regionserver.msginterval,"(30623.37, 31016.92, 31016.92)","(0.00, 1778.32, 1777.33)","(1778.11, 1868.48, 1868.51)"
hbase.regionserver.logroll.period,"(38446.75, 31016.75, 31016.68)","(1786.91, 1777.91, 1777.91)","(32010.24, 1865.87, 1868.32)"
hbase.regionserver.logroll.errors.tolerated,"(29841.40, 31016.91, 31016.91)","(1853.84, 1777.95, 1777.92)","(1919.44, 1868.44, 1868.45)"
hbase.regionserver.hlog.reader.impl,"(30179.65, 31016.94, 31016.91)","(1864.77, 1777.94, 1777.88)","(1794.91, 1868.43, 1868.43)"
hbase.regionserver.hlog.writer.impl,"(31235.34, 31016.91, 31016.91)","(1713.17, 1777.90, 1777.91)","(1844.61, 1868.45, 1868.48)"
hbase.regionserver.global.memstore.size,"(0.00, 31017.29, 31016.32)","(0.00, 1778.59, 1777.77)","(1957.28, 1868.47, 1868.43)"
hbase.regionserver.global.memstore.size.lower.limit,"(29036.00, 31016.95, 31016.95)","(1574.80, 1777.88, 1777.84)","(1814.92, 1868.46, 1868.45)"
hbase.systemtables.compacting.memstore.type,"(32094.72, 31016.91, 31016.90)","(1754.05, 1777.91, 1777.91)","(1788.52, 1868.45, 1868.43)"
hbase.regionserver.optionalcacheflushinterval,"(29742.16, 31016.92, 31016.92)","(1801.72, 1777.91, 1777.92)","(1828.09, 1868.48, 1868.45)"
hbase.regionserver.dns.interface,"(31698.03, 31016.92, 31016.90)","(1798.67, 1777.91, 1777.92)","(1799.20, 1868.46, 1868.43)"
hbase.regionserver.dns.nameserver,"(30127.07, 31016.94, 31016.93)","(1837.16, 1777.93, 1777.89)","(1786.07, 1868.44, 1868.47)"
hbase.regionserver.region.split.policy,"(31509.61, 31016.91, 31016.91)","(1818.19, 1777.89, 1777.90)","(1790.59, 1868.48, 1868.50)"
hbase.regionserver.regionSplitLimit,"(32472.20, 31016.93, 31016.94)","(1761.13, 1777.91, 1777.90)","(1840.93, 1868.48, 1868.46)"
zookeeper.session.timeout,"(0.00, 31016.75, 31016.97)","(1547.99, 1777.88, 1777.80)","(32372.94, 1879.32, 1874.61)"
zookeeper.znode.parent,"(32458.24, 31016.94, 31016.87)","(1739.76, 1777.92, 1777.91)","(1926.74, 1868.44, 1868.44)"
zookeeper.znode.acl.parent,"(31391.51, 31016.92, 31016.91)","(1860.24, 1777.92, 1777.89)","(1837.55, 1868.46, 1868.46)"
hbase.zookeeper.dns.interface,"(32401.16, 31016.94, 31016.92)","(1771.45, 1777.90, 1777.90)","(1830.40, 1868.46, 1868.45)"
hbase.zookeeper.dns.nameserver,"(30056.67, 31016.88, 31016.89)","(1717.01, 1777.92, 1777.88)","(1906.13, 1868.46, 1868.47)"
hbase.zookeeper.peerport,"(31989.91, 31016.94, 31016.94)","(1827.93, 1777.92, 1777.89)","(1840.57, 1868.46, 1868.47)"
hbase.zookeeper.leaderport,"(31285.10, 31016.91, 31016.91)","(1839.04, 1777.89, 1777.88)","(1907.46, 1868.48, 1868.45)"
hbase.zookeeper.property.initLimit,"(0.00, 31017.83, 31016.99)","(1567.40, 1777.99, 1777.86)","(1894.39, 1868.46, 1868.47)"
hbase.zookeeper.property.syncLimit,"(31809.43, 31016.92, 31016.92)","(1758.98, 1777.91, 1777.90)","(1863.36, 1868.47, 1868.46)"
hbase.zookeeper.property.dataDir,"(31558.37, 31016.92, 31016.91)","(1832.04, 1777.89, 1777.88)","(1907.37, 1868.45, 1868.48)"
hbase.zookeeper.property.clientPort,"(nan, nan, 'nan')","(0.00, 1777.34, 1777.40)","(1924.20, 1868.48, 1868.46)"
hbase.zookeeper.property.maxClientCnxns,"(nan, nan, 'nan')","(0.00, 1777.31, 1777.75)","(40112.31, 1877.16, 1869.52)"
hbase.client.write.buffer,"(0.00, 31017.28, 31017.62)","(1567.40, 1777.81, 1777.80)","(1938.98, 1868.46, 1868.48)"
hbase.client.pause,"(31128.98, 31016.91, 31016.91)","(1759.84, 1777.90, 1777.91)","(31695.72, 1869.84, 1861.41)"
hbase.client.pause.server.overloaded,"(32342.30, 31016.94, 31016.91)","(1866.07, 1777.93, 1777.88)","(1943.36, 1868.47, 1868.49)"
hbase.client.retries.number,"(30364.33, 31016.90, 31016.91)","(1857.62, 1777.92, 1777.91)","(1857.50, 1868.47, 1868.46)"
hbase.client.max.total.tasks,"(36658.29, 31016.83, 31016.78)","(1703.81, 1777.95, 1777.88)","(1927.70, 1868.49, 1868.49)"
hbase.client.max.perserver.tasks,"(30120.19, 31016.92, 31016.90)","(1760.20, 1777.91, 1777.90)","(1900.94, 1868.48, 1868.48)"
hbase.client.max.perregion.tasks,"(31916.67, 31016.90, 31016.93)","(1840.52, 1777.90, 1777.89)","(1939.44, 1868.50, 1868.43)"
hbase.client.perserver.requests.threshold,"(0.00, 31017.66, 31016.05)","(0.00, 1777.04, 1778.54)","(1787.25, 1868.45, 1868.45)"
hbase.client.scanner.caching,"(31253.28, 31016.91, 31016.92)","(1825.29, 1777.90, 1777.90)","(1859.87, 1868.47, 1868.46)"
