dfs.block.access.key.update.interval,0.46%
dfs.block.access.token.enable,23.85%
dfs.block.access.token.lifetime,0.38%
dfs.block.local-path-access.user,1.33%
dfs.block.scanner.volume.bytes.per.second,2.81%
dfs.blockreport.initialDelay,4.64%
dfs.blockreport.intervalMsec,3.11%
dfs.blockreport.split.threshold,2.32%
dfs.blocksize,1.42%
dfs.bytes-per-checksum,3.58%
dfs.cachereport.intervalMsec,4.67%
dfs.client.block.write.replace-datanode-on-failure.best-effort,3.38%
dfs.client.block.write.replace-datanode-on-failure.enable,0.38%
dfs.client.block.write.replace-datanode-on-failure.policy,23.08%
dfs.client.block.write.retries,3.10%
dfs.client.cache.drop.behind.reads,2.69%
dfs.client.cache.drop.behind.writes,23.85%
dfs.client.cache.readahead,23.08%
dfs.client.cached.conn.retry,4.57%
dfs.client.context,36.15%
dfs.client.datanode-restart.timeout,3.93%
dfs.client.domain.socket.data.traffic,3.93%
dfs.client.failover.connection.retries,60.77%
dfs.client.failover.connection.retries.on.timeouts,23.46%
dfs.client.failover.max.attempts,4.30%
dfs.client.failover.sleep.base.millis,3.67%
dfs.client.failover.sleep.max.millis,1.31%
dfs.client.file-block-storage-locations.num-threads,1.70%
dfs.client.file-block-storage-locations.timeout.millis,4.86%
dfs.client.https.keystore.resource,3.74%
dfs.client.https.need-auth,3.88%
dfs.client.local.interfaces,1.69%
dfs.client.mmap.cache.size,4.32%
dfs.client.mmap.cache.timeout.ms,23.46%
dfs.client.mmap.enabled,22.69%
dfs.client.mmap.retry.timeout.ms,3.76%
dfs.client.read.shortcircuit,3.13%
dfs.client.read.shortcircuit.skip.checksum,0.04%
dfs.client.read.shortcircuit.streams.cache.expiry.ms,1.90%
dfs.client.read.shortcircuit.streams.cache.size,2.00%
dfs.client.short.circuit.replica.stale.threshold.ms,3.61%
dfs.client.slow.io.warning.threshold.ms,23.85%
dfs.client.use.datanode.hostname,2.40%
dfs.client.use.legacy.blockreader.local,0.91%
dfs.client.write.exclude.nodes.cache.expiry.interval.millis,4.14%
dfs.client-write-packet-size,23.08%
dfs.data.transfer.protection,2.07%
dfs.data.transfer.saslproperties.resolver.class,2.29%
dfs.datanode.address,4.84%
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,1.65%
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,3.70%
dfs.datanode.balance.bandwidthPerSec,3.86%
dfs.datanode.block.id.layout.upgrade.threads,1.56%
dfs.datanode.block-pinning.enabled,0.14%
dfs.datanode.cache.revocation.polling.ms,1.43%
dfs.datanode.cache.revocation.timeout.ms,23.08%
dfs.datanode.data.dir,0.97%
dfs.datanode.data.dir.perm,0.94%
dfs.datanode.directoryscan.interval,4.40%
dfs.datanode.directoryscan.threads,4.01%
dfs.datanode.dns.interface,4.38%
dfs.datanode.dns.nameserver,2.04%
dfs.datanode.drop.cache.behind.reads,23.85%
dfs.datanode.drop.cache.behind.writes,22.69%
dfs.datanode.du.reserved,0.88%
dfs.datanode.failed.volumes.tolerated,3.43%
dfs.datanode.fsdatasetcache.max.threads.per.volume,36.92%
dfs.datanode.handler.count,2.80%
dfs.datanode.hdfs-blocks-metadata.enabled,3.36%
dfs.datanode.http.address,1.56%
dfs.datanode.https.address,1.45%
dfs.datanode.ipc.address,4.14%
dfs.datanode.max.locked.memory,22.69%
dfs.datanode.max.transfer.threads,4.51%
dfs.datanode.plugins,error
dfs.datanode.readahead.bytes,1.47%
dfs.datanode.scan.period.hours,2.98%
dfs.datanode.shared.file.descriptor.paths,3.48%
dfs.datanode.slow.io.warning.threshold.ms,3.01%
dfs.datanode.sync.behind.writes,2.72%
dfs.datanode.use.datanode.hostname,0.41%
dfs.default.chunk.view.size,0.28%
dfs.domain.socket.path,4.22%
dfs.encrypt.data.transfer,error
dfs.encrypt.data.transfer.algorithm,1.03%
dfs.encrypt.data.transfer.cipher.key.bitlength,2.58%
dfs.encrypt.data.transfer.cipher.suites,4.87%
dfs.encryption.key.provider.uri,0.84%
dfs.ha.automatic-failover.enabled,23.08%
dfs.ha.log-roll.period,3.22%
dfs.ha.namenode.id,3.27%
dfs.ha.namenodes.EXAMPLENAMESERVICE,3.33%
dfs.ha.tail-edits.period,4.11%
dfs.heartbeat.interval,58.85%
dfs.hosts,1.67%
dfs.hosts.exclude,2.37%
dfs.http.policy,error
dfs.https.server.keystore.resource,3.98%
dfs.image.compress,22.69%
dfs.image.compression.codec,22.69%
dfs.image.transfer.bandwidthPerSec,59.23%
dfs.image.transfer.chunksize,23.08%
dfs.image.transfer.timeout,23.08%
dfs.internal.nameservices,1.73%
dfs.journalnode.http-address,1.53%
dfs.journalnode.https-address,2.10%
dfs.journalnode.rpc-address,1.51%
dfs.metrics.percentiles.intervals,3.73%
dfs.namenode.accesstime.precision,3.17%
dfs.namenode.acls.enabled,23.08%
dfs.namenode.audit.loggers,1.95%
dfs.namenode.avoid.read.stale.datanode,1.15%
dfs.namenode.avoid.write.stale.datanode,3.66%
dfs.namenode.backup.address,1.28%
dfs.namenode.backup.http-address,1.09%
dfs.namenode.blocks.per.postponedblocks.rescan,22.69%
dfs.namenode.checkpoint.check.period,2.55%
dfs.namenode.checkpoint.dir,3.28%
dfs.namenode.checkpoint.edits.dir,4.81%
dfs.namenode.checkpoint.max-retries,3.60%
dfs.namenode.checkpoint.period,4.31%
dfs.namenode.checkpoint.txns,2.39%
dfs.namenode.datanode.registration.ip-hostname-check,3.56%
dfs.namenode.decommission.blocks.per.interval,3.75%
dfs.namenode.decommission.interval,22.69%
dfs.namenode.decommission.max.concurrent.tracked.nodes,3.22%
dfs.namenode.delegation.key.update-interval,59.23%
dfs.namenode.delegation.token.max-lifetime,2.61%
dfs.namenode.delegation.token.renew-interval,23.08%
dfs.namenode.edit.log.autoroll.check.interval.ms,4.39%
dfs.namenode.edit.log.autoroll.multiplier.threshold,4.72%
dfs.namenode.edits.dir,0.92%
dfs.namenode.edits.journal-plugin.qjournal,0.70%
dfs.namenode.edits.noeditlogchannelflush,4.18%
dfs.namenode.enable.retrycache,0.44%
dfs.namenode.fs-limits.max-blocks-per-file,0.66%
dfs.namenode.fs-limits.max-component-length,error
dfs.namenode.fs-limits.max-directory-items,0.39%
dfs.namenode.fs-limits.max-xattr-size,error
dfs.namenode.fs-limits.max-xattrs-per-inode,4.42%
dfs.namenode.fs-limits.min-block-size,error
dfs.namenode.handler.count,1.61%
dfs.namenode.heartbeat.recheck-interval,3.68%
dfs.namenode.http-address,4.09%
dfs.namenode.http-bind-host,3.17%
dfs.namenode.https-address,2.22%
dfs.namenode.https-bind-host,3.76%
dfs.namenode.inotify.max.events.per.rpc,1.60%
dfs.namenode.invalidate.work.pct.per.iteration,1.50%
dfs.namenode.kerberos.internal.spnego.principal,1.41%
dfs.namenode.kerberos.principal.pattern,1.73%
dfs.namenode.lazypersist.file.scrub.interval.sec,0.32%
dfs.namenode.legacy-oiv-image.dir,0.87%
dfs.namenode.list.cache.directives.num.responses,0.43%
dfs.namenode.list.cache.pools.num.responses,3.83%
