name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.image.compress,"(262, 366)","(308462, 258577)","(400, 388)"
dfs.client.cache.readahead,"(262, 370, 360)","(236205, 258577, 258577)","(426, 388, 388)"
dfs.namenode.retrycache.expirytime.millis,"(261, 371, 370)","(250803, 258577, 258577)","(402, 388, 388)"
dfs.namenode.list.encryption.zones.num.responses,"(261, 387, 371)","(252915, 258577, 258577)","(383, 388, 388)"
dfs.namenode.fs-limits.max-xattr-size,"(355, 390, 'error')","(255517, 258577, 258577)","(nan, nan, 'nan')"
dfs.client-write-packet-size,"(262, 369, 377)","(284932, 258577, 258577)","(409, 388, 388)"
dfs.datanode.drop.cache.behind.reads,"(261, 359)","(262241, 258577)","(nan, 'nan')"
dfs.datanode.drop.cache.behind.writes,"(262, 359)","(248421, 258577)","(377, 388)"
dfs.client.cache.drop.behind.writes,"(260, 359)","(232223, 258577)","(457, 388)"
dfs.namenode.startup.delay.block.deletion.sec,"(260, 373, 366)","(250622, 258577, 258577)","(nan, nan, 'nan')"
dfs.image.transfer.bandwidthPerSec,"(nan, nan, 'nan')","(183169, 258577, 258577)","(384, 388, 388)"
dfs.image.transfer.chunksize,"(262, 384, 383)","(208693, 258577, 258577)","(336, 388, 388)"
dfs.datanode.cache.revocation.timeout.ms,"(261, 356, 379)","(183169, 258577, 258577)","(368, 388, 388)"
dfs.namenode.top.window.num.buckets,"(323, 356, 382)","(208692, 258577, 258577)","(332, 388, 388)"
dfs.namenode.fs-limits.max-component-length,"(364, 375, 'error')","(247205, 258577, 258577)","(nan, nan, 'nan')"
dfs.namenode.acls.enabled,"(262, 371)","(259103, 258577)","(374, 388)"
dfs.block.access.token.enable,"(261, 370)","(271505, 258577)","(396, 388)"
dfs.namenode.plugins,"(356, 391, 'error')","(258450, 258577, 258577)","(383, 388, 388)"
dfs.ha.automatic-failover.enabled,"(261, 386)","(247041, 258577)","(402, 388)"
dfs.namenode.max.objects,"(320, 358, 387)","(317650, 258577, 258577)","(422, 388, 388)"
dfs.namenode.blocks.per.postponedblocks.rescan,"(262, 359, 370)","(256056, 258577, 258577)","(386, 388, 388)"
dfs.namenode.fs-limits.min-block-size,"(383, 361, 'error')","(268299, 258577, 258577)","(nan, nan, 'nan')"
dfs.encrypt.data.transfer,"(368, 'error')","(268941, 258577)","(nan, 'nan')"
dfs.client.slow.io.warning.threshold.ms,"(260, 358, 379)","(183170, 258577, 258577)","(312, 388, 388)"
hadoop.user.group.metrics.percentiles.intervals,"(389, 356, 'error')","(208692, 258577, 258577)","(325, 388, 388)"
dfs.datanode.plugins,"(368, 380, 'error')","(321159, 258577, 258577)","(346, 388, 388)"
dfs.namenode.resource.checked.volumes.minimum,"(383, 355, 'error')","(247751, 258577, 258577)","(376, 388, 388)"
dfs.datanode.max.locked.memory,"(261, 370, 363)","(256988, 258577, 258577)","(nan, nan, 'nan')"
dfs.http.policy,"(357, 382, 'error')","(259919, 258577, 258577)","(378, 388, 388)"
dfs.stream-buffer-size,"(262, 380, 356)","(280949, 258577, 258577)","(391, 388, 388)"
dfs.heartbeat.interval,"(261, 370, 359)","(258104, 258577, 258577)","(406, 388, 388)"
dfs.namenode.decommission.interval,"(262, 371, 373)","(296593, 258577, 258577)","(405, 388, 388)"
dfs.namenode.delegation.key.update-interval,"(262, 387, 357)","(248785, 258577, 258577)","(385, 388, 388)"
dfs.namenode.delegation.token.renew-interval,"(262, 371, 384)","(251271, 258577, 258577)","(nan, nan, 'nan')"
dfs.client.context,"(322, 362, 364)","(248333, 258577, 258577)","(396, 388, 388)"
dfs.datanode.fsdatasetcache.max.threads.per.volume,"(322, 388, 386)","(247224, 258577, 258577)","(nan, nan, 'nan')"
dfs.image.compression.codec,"(261, 365, 362)","(317652, 258577, 258577)","(393, 388, 388)"
dfs.image.transfer.timeout,"(262, 385, 365)","(333985, 258577, 258577)","(338, 388, 388)"
dfs.client.block.write.replace-datanode-on-failure.enable,"(261, 377)","(251058, 258577)","(393, 388)"
dfs.client.block.write.replace-datanode-on-failure.policy,"(262, 383, 388)","(248944, 258577, 258577)","(376, 388, 388)"
dfs.namenode.resource.checked.volumes,"(377, 362, 'error')","(208692, 258577, 258577)","(334, 388, 388)"
dfs.client.failover.connection.retries,"(261, 361, 387)","(266892, 258577, 258577)","(nan, nan, 'nan')"
dfs.client.failover.connection.retries.on.timeouts,"(262, 390, 378)","(213970, 258577, 258577)","(325, 388, 388)"
dfs.namenode.write.stale.datanode.ratio,"(390, 389, 'error')","(298261, 258577, 258577)","(402, 388, 388)"
nfs.rtmax,"(261, 361, 383)","(229710, 258577, 258577)","(371, 388, 388)"
nfs.wtmax,"(261, 366, 382)","(251534, 258577, 258577)","(nan, nan, 'nan')"
dfs.webhdfs.enabled,"(261, 390)","(259461, 258577)","(nan, 'nan')"
dfs.client.mmap.enabled,"(263, 366)","(266976, 258577)","(nan, 'nan')"
dfs.client.mmap.cache.timeout.ms,"(262, 370, 381)","(260444, 258577, 258577)","(nan, nan, 'nan')"
dfs.block.access.key.update.interval,"(356, 365, 371)","(250011, 258577, 258577)","(375, 388, 388)"
dfs.namenode.handler.count,"(372, 368, 388)","(256681, 258577, 258577)","(385, 388, 388)"
dfs.namenode.checkpoint.dir,"(372, 360, 363)","(263407, 258577, 258577)","(373, 388, 388)"
dfs.namenode.checkpoint.edits.dir,"(375, 362, 373)","(256181, 258577, 258577)","(387, 388, 388)"
dfs.datanode.max.transfer.threads,"(372, 368, 371)","(270173, 258577, 258577)","(399, 388, 388)"
dfs.datanode.readahead.bytes,"(373, 364, 365)","(263387, 258577, 258577)","(402, 388, 388)"
dfs.client.use.datanode.hostname,"(365, 389)","(269134, 258577)","(371, 388)"
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms,"(371, 364, 363)","(256001, 258577, 258577)","(388, 388, 388)"
dfs.namenode.invalidate.work.pct.per.iteration,"(391, 368, 388)","(246944, 258577, 258577)","(386, 388, 388)"
dfs.namenode.replication.work.multiplier.per.iteration,"(373, 387, 361)","(248662, 258577, 258577)","(387, 388, 388)"
dfs.encrypt.data.transfer.cipher.key.bitlength,"(374, 370, 358)","(256070, 258577, 258577)","(384, 388, 388)"
dfs.trustedchannel.resolver.class,"(362, 361, 390)","(253992, 258577, 258577)","(380, 388, 388)"
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,"(364, 368, 357)","(246225, 258577, 258577)","(403, 388, 388)"
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,"(365, 361, 391)","(253391, 258577, 258577)","(370, 388, 388)"
dfs.namenode.enable.retrycache,"(374, 384)","(271370, 258577)","(388, 388)"
dfs.namenode.retrycache.heap.percent,"(373, 384, 356)","(257084, 258577, 258577)","(386, 388, 388)"
dfs.namenode.path.based.cache.block.map.allocation.percent,"(382, 378, 379)","(254748, 258577, 258577)","(388, 388, 388)"
dfs.namenode.list.cache.directives.num.responses,"(374, 386, 355)","(264019, 258577, 258577)","(401, 388, 388)"
dfs.namenode.list.cache.pools.num.responses,"(390, 391, 362)","(258679, 258577, 258577)","(392, 388, 388)"
dfs.namenode.path.based.cache.retry.interval.ms,"(371, 359, 382)","(250030, 258577, 258577)","(395, 388, 388)"
dfs.cachereport.intervalMsec,"(370, 369, 368)","(260754, 258577, 258577)","(389, 388, 388)"
