name,Apache bench-10000-100,Apache bench-10000-1000,jmeter2
AcceptFilter,"(4807.47, 4750.68, 4770.41)","(4083.19, 4220.39, 3944.58)","(4229.62, 4279.54, 4326.66)"
AcceptPathInfo,"(4806.90, 4744.07)","(4081.62, 3922.71)","(4237.67, 4289.46)"
AccessFileName,"(4823.13, 4986.01, 4965.61)","(4185.17, 4240.86, 4072.50)","(4260.81, 4370.75, 4133.75)"
AddDefaultCharset,"(4954.25, 4809.76, 4840.46)","(4161.72, 4313.10, 4041.84)","(3906.36, 3793.61, 3761.14)"
AllowEncodedSlashes,"(5161.32, 5103.88)","(4194.29, 4107.17)","(4159.18, 4159.24)"
AllowOverride,"(5152.08, 5223.49, 5114.76)","(3861.72, 3723.88, 3797.42)","(4259.89, 4361.55, 4383.49)"
AllowOverrideList,"(4955.93, 4796.34, 4836.34)","(3866.95, 3980.38, 4019.27)","(3962.63, 3822.19, 3928.84)"
CGIMapExtension,"(4857.65, 4843.45, 4847.11)","(3908.21, 3798.73, 3912.75)","(4024.57, 4071.86, 3946.69)"
CGIPassAuth,"(4832.36, 4939.69)","(3853.67, 3732.71)","(4052.48, 4164.17)"
CGIVar,"(4977.63, 4900.44, 5055.77)","(3947.73, 3793.49, 4096.26)","(4307.29, 4391.23, 4449.22)"
ContentDigest,"(4362.96, 4296.75)","(4063.53, 4126.94)","(3601.40, 3528.29)"
DefaultRuntimeDir,"(4788.63, 4780.14, 4782.27)","(3936.07, 3869.01, 3834.55)","(4187.11, 4260.75, 4256.28)"
DefaultType,"(5211.69, 5075.61, 5215.36)","(4117.25, 4224.27, 4144.44)","(3944.80, 3919.28, 4050.61)"
Define,"(4964.67, 4813.60, 4966.20)","(4178.88, 4219.83, 4278.55)","(4219.82, 4081.13, 4307.62)"
DocumentRoot,"(5083.24, 5001.39, 4999.51)","(4105.99, 4143.78, 4027.52)","(4050.81, 4193.07, 4140.95)"
EnableMMAP,"(5237.53, 5387.48)","(3874.20, 3900.04)","(4074.49, 4030.91)"
EnableSendfile,"(6680.62, 6630.80)","(4182.85, 4154.83)","(4709.60, 4702.86)"
Error,"(5054.83, 4924.97, 5010.93)","(3973.64, 3831.66, 3825.14)","(4298.87, 4220.44, 4276.98)"
ErrorDocument,"(5078.23, 4922.59, 4963.11)","(3867.13, 3823.58, 3929.53)","(4265.77, 4226.38, 4330.03)"
ErrorLog,"(4889.17, 5043.54, 4899.94)","(3965.83, 4045.20, 3909.27)","(4192.21, 4267.07, 4328.74)"
ErrorLogFormat,"(4969.34, 4925.55, 4886.98)","(3940.73, 3860.05, 3866.79)","(4035.63, 3884.44, 3988.19)"
ExtendedStatus,"(4904.79, 4918.94)","(4095.95, 4075.96)","(4250.36, 4404.28)"
FileETag,"(5261.74, 5167.23, 5098.04)","(3855.91, 3736.43, 3909.16)","(4258.63, 4361.42, 4230.32)"
FlushMaxPipelined,"(4673.85, 4504.16, 4851.09)","(3849.95, 3971.40, 3721.69)","(4128.64, 4156.60, 4069.39)"
FlushMaxThreshold,"(5188.74, 5119.25, 5348.71)","(3955.65, 3814.13, 3968.63)","(4291.80, 4332.54, 4413.23)"
ForceType,"(5224.24, 5359.57, 5051.37)","(3890.70, 3862.01, 4046.52)","(4085.31, 3934.88, 3946.00)"
GprofDir,"(5080.47, 5030.35, 5232.19)","(4047.83, 3944.73, 4164.66)","(4252.98, 4402.53, 4136.72)"
HostnameLookups,"(4997.09, 4938.96, 4990.78)","(3966.49, 3808.43, 3844.64)","(4128.01, 4002.28, 4008.30)"
HttpProtocolOptions,"(5065.47, 5169.99, 5047.56)","(4033.18, 3888.18, 3888.71)","(4067.00, 4058.60, 3929.16)"
Include,"(4952.81, 4859.70, 5145.61)","(3813.44, 3750.88, 3882.98)","(4229.85, 4101.46, 4074.43)"
IncludeOptional,"(5136.05, 5098.45, 5305.15)","(4189.04, 4170.13, 4262.15)","(4115.87, 4080.72, 4263.13)"
KeepAlive,"(5275.74, 5283.72)","(4183.14, 4239.86)","(3676.50, 3692.22)"
KeepAliveTimeout,"(4968.09, 4955.12, 4938.15)","(3950.77, 3806.76, 3871.31)","(4118.55, 4157.49, 4092.86)"
LimitInternalRecursion,"(4801.13, 4642.03, 4742.21)","(3884.41, 4021.71, 3997.54)","(4147.77, 4222.40, 3991.84)"
LimitRequestBody,"(4823.67, 4982.32, 4834.90)","(4143.51, 4154.11, 4042.20)","(4214.07, 4377.95, 4295.78)"
LimitRequestFields,"(5103.09, 5076.98, 5031.67)","(2372.09, 2316.55, 2294.05)","(3989.95, 3979.34, 4051.67)"
LimitRequestFieldSize,"(4973.44, 5053.79, 5045.80)","(4049.40, 4001.30, 3968.16)","(4247.64, 4263.66, 4137.68)"
LimitRequestLine,"(5261.27, 5178.32, 5171.34)","(4069.85, 4204.19, 3990.83)","(4302.79, 4286.81, 4230.97)"
LimitXMLRequestBody,"(5178.50, 5259.90, 5094.82)","(3899.19, 3859.72, 3927.46)","(4225.40, 4309.77, 4296.14)"
