name,Apache-bench-10000-100,Apache-bench-10000-1000,jmeter1
server.document-root,7960.0713436307215,7195.045775212742,2821.3709839919093
server.name,7934.10431038578,6663.254076931194,2832.8188349532834
server.tag,7814.305663198256,6706.028075763541,2832.444592586668
server.max-request-size,7607.720660863892,6784.802321868094,2864.472986082847
server.max-keep-alive-requests,7540.282994699065,7077.858202946643,3007.1305799092193
server.max-keep-alive-idle,6695.72,6884.268863808121,2832.0225900335836
server.max-read-idle,6712.55,5756.47,3023.278802728666
server.max-write-idle,7599.8419027243435,7194.713390804659,2974.4931471294094
server.errorfile-prefix,7575.8016069351,6553.831921863416,3053.971507041324
server.error-handler,7719.091547739474,7167.994830976325,2869.895596022275
server.error-handler-404,8222.843213037784,6845.8683028096975,2982.213190705582
server.error-intercept,7496.766239016964,6789.720997346984,3029.6100950771643
server.force-lowercase-filenames,7569.824615261409,6999.163148176882,2824.5580860829405
server.follow-symlink,8132.330963367618,6632.757030832739,3020.47825755509
server.protocol-http11,8187.322051195547,6774.1989449354605,2893.7113725544577
server.range-requests,6540.45,6113.67,3154.6
server.stream-request-body,7854.789891585605,6735.7020957083505,1865.7
server.stream-response-body,7849.60750585273,6575.438884533301,2999.845190249834
server.kbytes-per-second,6495.8,5524.72,3101.500143121992
connection.kbytes-per-second,6844.47,5434.48,2920.2584812732234
mimetype.assign,7499.791563853207,6890.1460454765265,2977.616707003307
mimetype.use-xattr,8104.366393595474,6622.997193228896,2966.342819502385
etag.use-inode,6806.16,7173.547950704955,3086.1884781385716
etag.use-mtime,7570.929627826382,7136.078149281082,3063.1608066772187
etag.use-size,6706.22,6652.314142951689,3062.170312569831
server.errorlog,7506.831593189246,6919.301133333158,2962.5183969458203
server.breakagelog,8143.568933785807,7199.848370724196,3100.4262708700785
server.modules,7846.017957392003,6697.146138113449,3055.5477240340974
server.compat-module-load,46180.63,7143.11419279352,2958.4485334490964
server.systemd-socket-activation,7597.28252937501,7022.983823856816,2942.4583804647955
server.port,7516.683917642759,6982.329936366099,3047.3773823192337
server.bind,8139.286372093751,6537.7728834655845,2991.178555852859
server.network-backend,6470.29,6993.294415344874,2900.750107633459
server.chroot,8222.0117815095,6984.225617605575,3043.4000816138446
server.username,7578.7461406225675,6711.86652518768,2919.637302198622
server.groupname,8138.091083243311,7147.907578598908,2863.0685181413505
server.errorlog-use-syslog,6797.33,6550.086803431119,2857.135741649571
server.syslog-facility,7893.2760236731265,7153.030075969487,2955.583368734464
server.core-files,7520.355209854484,6880.2211418494935,2822.3936703900354
server.event-handler,7863.933818078814,6633.988740633776,3014.0166012719455
server.pid-file,8026.607141901738,6562.131926260086,3084.0590677501004
server.max-worker,5058.93,6527.198083893607,3036.635913950422
server.max-fds,7785.901785154132,7133.122075035811,2932.3155961735656
server.max-connections,7260.71,6110.68,2833.9485986550717
server.max-request-field-size,48674.59,39540.85,2815.194022824534
server.chunkqueue-chunk-sz,7881.804748004414,7000.834272537669,2836.619402763584
server.upload-temp-file-size,7527.46255090279,7026.266910548309,2855.997665869634
server.upload-dirs,8026.508661720633,6906.155249596479,2863.1873369915406
server.http-parseopts,7604.04862565289,6984.807527948225,3083.89643418397
server.http-parseopt-header-strict,8128.407784183951,7185.795181544168,2889.3969852690707
server.http-parseopt-host-strict,8239.436078960382,6838.028420333572,2911.0873081436857
server.http-parseopt-host-normalize,7846.314555903203,6969.166618009069,3082.3429130892323
server.reject-expect-100-with-417,7555.438962367153,7039.9637093284255,3017.396666801685
server.stat-cache-engine,6713.93,7040.967586125785,2890.2
mimetype.xattr-name,8138.510083335271,7027.736623150238,2842.7936055007203
server.feature-flags,8146.909549906313,6713.204991873004,2982.650551354404
server.listen-backlog,8152.970892536692,7209.3213685711535,3081.8595305777453
server.bsd-accept-filter,6615.32,7043.5914169214,3006.187035390405
server.defer-accept,6341.19,6557.205549291229,2942.993229077033
server.use-ipv6,6633.53,5812.18,3096
server.v4mapped,7890.700258078415,6754.68131938198,2914.4136823266986
server.socket-perms,7910.300074969393,6751.146752204251,2978.0397724177196
