name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.jobhistory.max-age-ms,"(377, 387)","(257192, 259961)","(385, 390)"
mapreduce.jobhistory.loadedjobs.cache.size,"(366, 384)","(230519, 232888)","(394, 394)"
mapreduce.jobhistory.joblist.cache.size,"(390, 366, 381)","(250164, 261718, 264341)","(373, 377, 388)"
mapreduce.job.encrypted-intermediate-data.buffer.kb,"(389, 363)","(266257, 262140)","(405, 372)"
mapreduce.ifile.readahead,"(368, 385, 369)","(255772, 258274, 259232)","(399, 384, 397)"
mapreduce.shuffle.ssl.file.buffer.size,"(389, 373)","(254843, 261929)","(373, 401)"
yarn.app.mapreduce.am.staging-dir.erasurecoding.enabled,"(376, 376)","(260718, 256996)","(391, 387)"
yarn.app.mapreduce.am.staging-dir,"(355, 356, 378)","(263305, 258380, 256067)","(400, 377, 397)"
yarn.app.mapreduce.am.resource.cpu-vcores,"(371, 389, 389)","(260576, 259017, 259526)","(371, 405, 398)"
mapreduce.task.exit.timeout.check-interval-ms,"(370, 389, 376)","(247806, 259316, 253287)","(383, 387, 387)"
mapreduce.reduce.speculative,"(373, 358, 361)","(257182, 257492, 259777)","(392, 390, 388)"
mapreduce.reduce.input.buffer.percent,"(373, 370, 377)","(272696, 246587, 265801)","(394, 390, 387)"
mapreduce.map.output.compress.codec,"(373, 377, 377)","(256365, 259351, 260382)","(386, 388, 388)"
mapreduce.map.output.compress,"(391, 382, 357)","(249362, 256863, 253529)","(353, 410, 420)"
mapreduce.jobhistory.webapp.https.address,"(368, 367, 362)","(266404, 256588, 252906)","(395, 392, 391)"
mapreduce.jobhistory.recovery.store.leveldb.path,"(368, 359, 374)","(260084, 258587, 257123)","(378, 380, 381)"
mapreduce.jobhistory.recovery.store.fs.uri,"(379, 385, 377)","(265515, 263787, 262092)","(380, 390, 386)"
mapreduce.jobhistory.recovery.store.class,"(381, 361, 384)","(254217, 259807, 257076)","(381, 389, 386)"
