name,sysbench-10000-4-16-20,tpcc-w2-1-10,tpcc-w4-4-20,sysbench-1000-8-8-40
max_heap_table_size,"(12018.20, 12147.88, 11867.85)","(1254.66, 1219.65, 1254.98)","(49.37, 50.95, 47.43)","(5055.46, 4891.00, 5075.07)"
tmp_table_size,"(11447.48, 11748.17, 11154.28)","(1369.77, 1391.11, 1382.89)","(49.24, 48.54, 47.90)","(5155.91, 5167.74, 5130.10)"
end_markers_in_json,"(11895.20, 11947.32)","(1323.52, 1273.57)","(47.92, 49.13)","(4990.77, 5161.93)"
windowing_use_high_precision,"(12294.72, 11954.04)","(1357.57, 1397.29)","(48.56, 49.80)","(5107.34, 5030.79)"
optimizer_switch,"(12029.16, 11778.06, 12273.26)","(1321.30, 1341.43, 1355.16)","(48.43, 48.93, 46.62)","(4941.52, 5031.99, 5074.22)"
optimizer_trace,"(11826.99, 11532.41, 11429.73)","(1264.50, 1269.62, 1294.00)","(47.06, 47.69, 47.00)","(4705.82, 4771.09, 4805.77)"
optimizer_trace_features,"(12277.64, 12691.84, 12030.55)","(1270.74, 1267.68, 1259.67)","(50.32, 48.56, 48.97)","(4991.40, 4929.83, 4870.15)"
optimizer_trace_offset,"(11842.40, 11986.03, 11379.62)","(1358.01, 1349.28, 1398.31)","(49.43, 48.64, 51.23)","(5150.64, 5176.50, 4996.09)"
optimizer_trace_limit,"(11386.96, 11474.28, 11061.69)","(1251.97, 1269.18, 1247.51)","(46.70, 47.87, 48.29)","(4893.83, 5064.85, 4953.10)"
optimizer_trace_max_mem_size,"(12315.81, 12534.14, 12433.32)","(1269.95, 1273.40, 1223.28)","(46.98, 47.37, 45.18)","(5130.63, 5018.14, 5210.04)"
sql_mode,"(11944.85, 12121.73, 12296.82)","(1320.09, 1335.83, 1348.88)","(48.05, 48.10, 49.08)","(4984.93, 5114.59, 4864.10)"
autocommit,"(12023.80, 11951.06)","(1306.90, 1273.16)","(47.99, 47.50)","(4971.37, 5009.40)"
sql_select_limit,"(11851.37, 11874.15, 11636.28)","(1368.80, 1337.23, 1375.05)","(48.06, 48.08, 47.20)","(5077.12, 5079.11, 4975.19)"
max_join_size,"(11329.33, 11410.46, 11376.61)","(1291.78, 1243.73, 1265.85)","(50.57, 50.72, 49.49)","(4958.29, 5021.48, 5116.71)"
bulk_insert_buffer_size,"(12501.54, 12060.35, 12224.77)","(1350.15, 1334.49, 1361.76)","(47.17, 45.81, 46.62)","(4897.93, 5033.13, 5039.99)"
eq_range_index_dive_limit,"(11571.26, 11618.62, 11271.46)","(1358.09, 1341.09, 1399.32)","(46.63, 46.99, 46.09)","(4830.08, 4924.63, 4938.55)"
cte_max_recursion_depth,"(11367.84, 11025.06, 11330.37)","(1506.00, 1501.59, 1475.03)","(48.84, 48.49, 48.86)","(5114.65, 5147.86, 5092.95)"
histogram_generation_max_mem_size,"(11365.26, 11288.33, 11470.77)","(1359.51, 1324.67, 1336.70)","(49.43, 50.10, 48.58)","(4863.31, 4752.67, 4740.56)"
join_buffer_size,"(11388.94, 11315.40, 11621.82)","(1285.18, 1304.25, 1260.11)","(49.26, 48.73, 48.10)","(4858.94, 4695.22, 4957.77)"
lock_wait_timeout,"(11802.39, 11522.86, 11762.27)","(1392.00, 1340.79, 1410.50)","(46.72, 45.91, 45.17)","(4722.74, 4845.91, 4607.46)"
max_allowed_packet,"(11412.34, 11821.72, 11303.52)","(1369.99, 1356.52, 1321.98)","(49.74, 50.90, 48.83)","(246.58, 249.86, 200.89)"
max_error_count,"(11866.95, 12040.82, 11624.94)","(1273.70, 1256.25, 1284.81)","(48.23, 47.56, 48.96)","(4773.80, 4604.05, 4674.05)"
max_length_for_sort_data,"(11324.85, 11541.89, 11286.31)","(1354.10, 1304.39, 1373.19)","(48.96, 50.52, 50.59)","(5083.44, 5106.05, 5110.20)"
max_points_in_geometry,"(12158.40, 11910.32, 12570.30)","(1272.72, 1315.86, error)","(46.13, 47.99, 44.38)","(5002.42, 4987.89, 4864.71)"
max_sort_length,"(11566.42, 11144.45, 11373.38)","(1298.93, 1320.02, 1286.34)","(47.02, 46.37, 47.49)","(4757.85, 4938.04, 4788.71)"
max_insert_delayed_threads,"(12499.76, 12322.30, 12631.10)","(1261.33, 1307.64, 1236.10)","(50.01, 51.00, 50.52)","(4870.14, 4927.63, 4875.64)"
min_examined_row_limit,"(11732.12, 11784.51, 11559.96)","(1334.81, 1285.83, 1306.46)","(50.54, 51.06, 50.98)","(4712.35, 4665.74, 4539.09)"
net_buffer_length,"(12158.95, 12487.47, 12074.07)","(1306.13, 1273.52, 1266.66)","(48.11, 47.59, 49.71)","(4967.20, 4785.37, 4788.15)"
interactive_timeout,"(11818.48, 11579.88, 11605.32)","(1354.09, 1341.85, 1330.59)","(48.84, 48.31, 48.61)","(5164.93, 5169.45, 5162.38)"
net_read_timeout,"(11532.68, 11143.55, 11785.82)","(1336.09, 1300.82, 1305.05)","(48.64, 48.09, 47.96)","(4793.35, 4609.86, 4715.60)"
net_retry_count,"(11946.31, 11578.87, 12092.55)","(1310.01, 1280.91, 1351.20)","(47.94, 49.45, 48.34)","(4904.00, 4998.05, 4769.39)"
wait_timeout,"(8571.63, 8306.34, 8601.11)","(1306.21, 1261.60, 1312.78)","(50.25, 51.08, 52.03)","(4910.69, 5029.63, 4946.74)"
net_write_timeout,"(11606.22, 11446.09, 11851.74)","(1286.36, 1264.32, 1335.94)","(50.08, 49.14, 49.84)","(5117.93, 5202.18, 5241.77)"
optimizer_prune_level,"(11808.22, 11403.67, 11527.36)","(1343.11, 1310.99, 1388.24)","(66.00, 67.80, 66.73)","(4925.02, 4811.51, 4841.10)"
optimizer_search_depth,"(12252.27, 11909.78, 11841.67)","(1371.60, 1333.10, 1417.36)","(78.00, 79.07, 79.79)","(4785.69, 4703.55, 4734.12)"
parser_max_mem_size,"(12349.27, 12295.39, 12503.93)","(1256.51, 1253.89, 1287.44)","(50.48, 51.19, 49.21)","(4793.40, 4636.78, 4965.69)"
range_optimizer_max_mem_size,"(8563.37, 8456.77, 8668.60)","(1364.71, 1333.73, 1395.45)","(78.00, 78.97, 79.61)","(244.82, 301.86, 69.43)"
preload_buffer_size,"(11926.60, 11540.72, 12114.45)","(1317.51, 1332.86, 1349.46)","(48.71, 47.04, 48.27)","(4896.20, 4767.38, 4967.28)"
profiling_history_size,"(11954.23, 11510.70, 11644.92)","(1308.78, 1349.59, 1327.61)","(48.14, 46.55, 47.09)","(4910.40, 5054.29, 4750.70)"
read_buffer_size,"(11890.59, 11950.20, 11495.00)","(1374.26, 1411.28, 1365.97)","(46.42, 48.08, 47.03)","(191.26, 36.39, 251.75)"
read_rnd_buffer_size,"(11722.30, 11497.27, 11805.63)","(1277.21, 1305.36, 1244.58)","(46.89, 46.64, 47.78)","(4823.95, 4795.37, 4682.30)"
div_precision_increment,"(12151.88, 11743.25, 11756.35)","(1274.45, 1308.66, 1262.74)","(49.56, 51.05, 48.43)","(5061.76, 4914.79, 5045.06)"
sort_buffer_size,"(11592.65, 11755.26, 11723.39)","(1362.01, 1386.32, 1367.99)","(47.24, 47.38, 46.80)","(4732.87, 4600.01, 4718.62)"
max_sp_recursion_depth,"(11935.49, 11586.90, 11541.25)","(1279.25, 1311.16, 1252.14)","(47.33, 48.52, 47.87)","(4915.58, 4809.81, 4881.94)"
default_week_format,"(12490.32, 12449.92, 12371.68)","(1252.60, 1290.66, 1302.74)","(48.28, 46.40, 48.30)","(5073.69, 5082.23, 5162.74)"
max_seeks_for_key,"(8442.82, 8454.31, 8519.90)","(1251.33, 1291.53, 1204.56)","(87.00, 86.01, 88.67)","(239.46, 63.07, 107.42)"
range_alloc_block_size,"(361.78, 762.00, 159.47)","(36.00, 29.93, 42.18)","(48.55, 49.60, 46.86)","(6.43, 15.80, -44.43)"
query_alloc_block_size,"(8720.68, 9185.29, 8990.47)","(1338.00, 1314.12, 1328.75)","(48.67, 49.83, 48.26)","(236.41, 145.95, 161.23)"
query_prealloc_size,"(11704.59, 12030.59, 11889.96)","(1310.50, 1259.93, 1315.03)","(47.86, 49.66, 47.12)","(5056.18, 5052.95, 5165.27)"
transaction_alloc_block_size,"(12063.28, 11685.79, 11862.22)","(1303.01, 1241.77, error)","(49.29, 48.98, 48.65)","(4724.04, 4692.87, 4591.29)"
transaction_prealloc_size,"(11364.25, 11315.38, 11212.54)","(1364.11, 1314.08, 1407.67)","(49.56, 50.30, 50.65)","(5068.01, 5094.12, 5119.16)"
group_concat_max_len,"(11577.55, 11370.83, 11661.75)","(1313.05, 1338.96, 1285.58)","(50.39, 49.86, 49.00)","(4916.08, 4957.38, 5073.49)"
rbr_exec_mode,"(12032.04, 11791.00, 12397.27)","(1311.79, 1280.99, 1282.53)","(48.27, 49.58, 50.16)","(4973.56, 5068.96, 5031.61)"
completion_type,"(11384.92, 11600.09, 10927.90)","(1319.24, 1288.56, 1276.91)","(50.42, 49.66, 48.58)","(5100.97, 5188.39, 4962.28)"
transaction_isolation,"(11777.37, 11625.42, 11673.19)","(1283.17, 1308.25, 1290.30)","(49.17, 47.29, 48.59)","(4845.07, 4804.98, 4930.57)"
updatable_views_with_limit,"(12029.56, 11978.48)","(1346.93, 1391.83)","(49.65, 50.65)","(5017.99, 4969.00)"
max_user_connections,"(12164.06, 12504.53, 12595.03)","(1291.74, 1282.63, 1318.24)","(45.98, 44.67, 44.45)","(242.93, 208.34, 220.90)"
block_encryption_mode,"(11923.08, 11841.66, 12273.90)","(1308.21, 1281.81, 1348.52)","(48.60, 47.43, 48.75)","(4973.92, 4870.03, 4980.44)"
transaction_read_only,"(12168.28, 12197.68)","(1294.12, 1288.03)","(0.00, -1.06)","(4965.37, 4785.08)"
low_priority_updates,"(11929.92, 11966.08)","(1306.90, 1256.08)","(48.57, 46.63)","(4954.74, 5010.54)"
new,"(11677.83, 11759.70)","(1375.76, 1395.05)","(48.45, 47.57)","(5141.85, 5299.35)"
keep_files_on_create,"(12254.68, 12158.69)","(1373.86, 1408.78)","(47.09, 46.10)","(4978.10, 4916.02)"
old_alter_table,"(11960.75, 11741.39)","(1327.68, 1341.67)","(45.92, 44.86)","(266.38, 270.68)"
big_tables,"(11826.22, 11680.92)","(1332.34, 1367.87)","(46.32, 47.89)","(4905.63, 4740.14)"
default_storage_engine,"(11991.33, 12130.08, 11654.95)","(1305.14, 1305.47, 1317.51)","(48.65, 49.17, 47.92)","(4988.65, 5005.32, 4859.53)"
default_tmp_storage_engine,"(11839.76, 12033.02, 11503.00)","(1317.69, 1320.94, 1366.80)","(48.05, 47.86, 47.29)","(4982.15, 5026.34, 5008.68)"
character_set_filesystem,"(12198.56, 11747.19, 12601.39)","(1268.48, 1244.88, 1253.78)","(46.31, 45.03, 46.29)","(4749.64, 4581.02, 4768.66)"
character_set_client,"(12297.86, 12163.61, 12113.13)","(1347.12, 1333.95, 1338.85)","(46.27, 46.26, 47.97)","(4734.08, 4754.53, 4823.45)"
character_set_results,"(11341.16, 10961.18, 11207.24)","(1271.65, 1301.93, 1252.19)","(48.15, 49.55, 46.29)","(5072.55, 5040.08, 5020.21)"
character_set_server,"(12428.45, 12082.85, 12589.80)","(1277.92, 1316.34, 1271.74)","(48.07, 49.74, 47.99)","(5166.93, 5143.09, 5139.14)"
character_set_database,"(12155.90, 12620.41, 11979.62)","(1273.14, 1221.81, 1297.35)","(48.08, 47.78, 48.73)","(5023.52, 4850.45, 5008.41)"
character_set_connection,"(11969.75, 11954.58, 11522.44)","(1259.34, 1269.07, 1279.67)","(50.41, 49.50, 49.20)","(5043.61, 4978.85, 4997.01)"
lc_messages,"(12318.70, 11857.17, 12656.03)","(1297.81, 1343.25, 1348.23)","(46.30, 47.61, 47.61)","(4831.94, 4677.51, 4884.22)"
lc_time_names,"(11753.63, 11616.96, 12064.80)","(1366.56, 1377.71, 1346.35)","(50.12, 49.22, 51.21)","(4756.51, 4673.81, 4716.02)"
