name,redisbenchmark-get-10000-50,redisbenchmark-set-10000-50,redisbenchmark-get-100000-100
rdbchecksum,0.058222303,0.055630039,0.480632866
daemonize,0.05,0.058380143,0.50996641
io-threads-do-reads,0.053257467,0.05606903,0.46
always-show-logo,0.054116417,0.05310322,0.55
protected-mode,0.057623893,0.053117238,0.517126254
rdb-del-sync-files,0.056878603,0.055903742,0.473274642
activerehashing,0.08,0.054360581,0.510861385
stop-writes-on-bgsave-error,0.054336449,0.053505086,0.518053598
set-proc-title,0.056265284,0.05,0.472969327
dynamic-hz,0.053935599,0.054390398,0.483972266
lazyfree-lazy-eviction,0.056502575,0.057019495,0.475054264
lazyfree-lazy-user-del,0.054179641,0.06,0.503251485
lazyfree-lazy-user-flush,0.057095223,0.055361748,0.46
repl-disable-tcp-nodelay,0.055375429,0.057964902,0.47777316
repl-diskless-sync,0.05,0.053872114,0.488780309
aof-rewrite-incremental-fsync,0.057013846,0.052943733,0.47226904
no-appendfsync-on-rewrite,0.054251654,0.053619171,0.518957147
cluster-require-full-coverage,0.05,0.054201077,0.4867981
rdb-save-incremental-fsync,0.057533227,0.057697207,0.479995144
aof-load-truncated,0.053404573,0.058127178,0.489592387
aof-use-rdb-preamble,0.057184362,0.057489327,0.503308953
cluster-replica-no-failover,0.056112295,0.05,0.505013451
replica-serve-stale-data,0.053099667,0.055287673,0.495885893
replica-read-only,0.05,0.054472116,0.55
replica-ignore-maxmemory,0.054585257,0.05,0.476167431
jemalloc-bg-thread,0.05,0.054707371,0.487447849
syslog-enabled,0.07,0.06,0.46
cluster-enabled,0.05689564,0.053388477,0.493215948
appendonly,0.053800222,0.055213014,0.486068601
cluster-allow-reads-when-down,0.057156894,0.053127656,0.485383667
crash-log-enabled,0.053767918,0.053093648,0.481290925
crash-memcheck-enabled,0.05,0.05,0.53
disable-thp,0.053167862,0.053351968,0.482181591
cluster-allow-replica-migration,0.05,0.055353969,0.47
replica-announced,0.057771261,0.05461723,0.507454152
aclfile,0.05577492,0.053849031,0.484017702
unixsocket,0.058088748,0.054933944,0.516593093
pidfile,0.055128308,0.057705831,0.495985115
replica-announce-ip,0.056496489,0.056924946,0.498359862
masteruser,0.054028439,0.053518458,0.518746079
