name,Apachebench-10000-100,Apachebench-10000-1000,Apachebench-1000-10
allowBackslash,"(8905.53, 8638.11)","(5279.95, 5118.53)","(4191.64, 4175.44)"
allowTrace,"(8997.89, 8991.95)","(5181.30, 5490.16)","(4337.03, 4540.92)"
scheme,"(8811.01, 8355.55, 8546.03)","(5237.44, 5506.89, 5313.97)","(4322.56, 4164.16, 4178.28)"
secure,"(8715.40, 8449.72)","(5239.18, 5453.37)","(4352.73, 4532.92)"
URIEncoding,"(8853.04, 8575.47, 8511.52)","(5286.58, 5346.81, 5477.67)","(4323.32, 4137.58, 4290.03)"
useBodyEncodingForURI,"(8710.64, 8395.83)","(5285.86, 5271.45)","(4335.20, 4456.39)"
useIPVHosts,"(8949.88, 8503.77)","(5060.91, 5097.19)","(4490.33, 4171.35)"
acceptCount,"(9168.86, 9082.29, 8782.77)","(5168.05, 5267.44, 5375.62)","(4463.95, 4235.17, 4142.41)"
acceptorThreadPriority,"(8970.17, 8560.65, 8505.89)","(5459.27, 5475.72, 5194.09)","(4362.13, 4321.32, 4139.11)"
allowedTrailerHeaders,"(8802.78, 8897.20, 9055.71)","(5324.04, 5535.96, 5368.24)","(4353.77, 4421.40, 4297.44)"
clientCertProvider,"(9025.61, 8806.99, 8747.31)","(5404.01, 5026.58, 5061.28)","(4266.41, 4486.07, 4465.80)"
compressibleMimeType,"(9177.50, 8831.90, 8572.83)","(5139.96, 5352.26, 5271.71)","(4394.50, 4496.03, 4337.99)"
compression,"(8778.44, 9207.58, 8539.94)","(5300.61, 5301.42, 5326.15)","(4316.72, 4193.45, 4477.43)"
compressionMinSize,"(8802.89, 8574.90, 8891.81)","(5251.82, 5189.73, 5477.95)","(4390.19, 4224.90, 4265.38)"
connectionLinger,"(8600.48, 9212.94, 8732.25)","(5296.20, 5390.91, 5534.36)","(4567.17, 4252.47, 4425.88)"
connectionTimeout,"(8805.23, 8425.40, 8975.84)","(5241.44, 5023.93, 5093.49)","(4360.89, 4567.49, 4338.22)"
connectionUploadTimeout,"(8915.87, 9008.83, 8351.34)","(5136.14, 5227.23, 5375.99)","(4559.90, 4336.30, 4215.62)"
continueResponseTiming,"(8539.97, 8660.01, 9099.91)","(5440.62, 5257.52, 5426.18)","(4285.64, 4381.18, 4291.91)"
defaultSSLHostConfigName,"(8366.20, 8622.34, 8778.67)","(5038.92, 5290.36, 5184.60)","(4378.30, 4167.67, 4437.16)"
disableUploadTimeout,"(8572.59, 9084.89)","(5361.03, 5315.05)","(4253.01, 4496.53)"
executor,"(8652.38, 9136.28, 8930.07)","(5400.98, 5293.27, 5341.90)","(4543.55, 4404.65, 4533.87)"
executorTerminationTimeoutMillis,"(8900.01, 9186.31, 8647.58)","(5216.99, 5322.67, 5409.66)","(4566.84, 4227.85, 4205.22)"
keepAliveTimeout,"(8835.72, 8691.69, 8971.85)","(5311.31, 5480.33, 5433.24)","(4311.00, 4458.93, 4519.38)"
maxExtensionSize,"(9080.54, 8548.27, 9015.13)","(5295.09, 5506.72, 5048.20)","(4174.11, 4475.78, 4229.31)"
maxSwallowSize,"(8869.10, 8998.32, 8742.50)","(5322.84, 5402.95, 5195.93)","(4326.83, 4441.81, 4451.46)"
maxTrailerSize,"(9168.85, 8728.19, 8533.95)","(5512.36, 5233.37, 5247.30)","(4245.40, 4539.35, 4156.31)"
minSpareThreads,"(9156.50, 8890.66, 9098.19)","(5418.93, 5539.94, 5401.29)","(4305.57, 4549.13, 4549.00)"
noCompressionUserAgents,"(8818.51, 9092.95, 8635.31)","(5322.69, 5348.59, 5185.67)","(4391.69, 4154.56, 4336.69)"
processorCache,"(8747.73, 9215.07, 8870.90)","(5267.19, 5470.46, 5524.17)","(4325.60, 4267.94, 4275.06)"
rejectIllegalHeader,"(8917.62, 8683.72)","(5505.45, 5090.08)","(4297.65, 4274.20)"
throwOnFailure,"(8451.31, 8875.62)","(5347.31, 5375.54)","(4551.30, 4390.78)"
useAsyncIO,"(8750.33, 8485.69)","(5258.98, 5265.67)","(4508.73, 4297.82)"
useKeepAliveResponseHeader,"(8794.62, 8661.77)","(5304.56, 5102.39)","(4380.03, 4308.63)"
maxCookieCount,"(8881.77, 9208.51, 9132.29)","(5641.93, 5223.81, 5067.69)","(4577.18, 4156.22, 4319.70)"
allowHostHeaderMismatch,"(9067.14, 'timeout')","(5220.65, 5056.96)","(4254.75, 4243.92)"
maxConnections,"(8054.80, 8775.99, 8870.14)","(5072.83, 5458.13, 5493.25)","(4427.73, 4209.68, 4237.40)"
maxHeaderCount,"(40956.14, 8583.30, 8950.22)","(5180.77, 5268.50, 5244.33)","(4401.51, 4238.45, 4292.47)"
maxHttpHeaderSize,"(15255.11, 8418.62, 9085.06)","(9978.14, 5179.87, 5531.25)","(6946.13, 4520.84, 4545.91)"
maxHttpRequestHeaderSize,"(9181.15, 8623.32, 'timeout')","(5320.00, 5075.40, 'timeout')","(4388.13, 4524.98, 'timeout')"
maxHttpResponseHeaderSize,"(14728.42, 9044.20, 9138.34)","(9445.23, 5035.96, 5080.10)","(2222.96, 4351.64, 4420.90)"
maxKeepAliveRequests,"(9612.59, 8727.30, 8441.52)","(3576.04, 5098.23, 5203.92)","(3967.64, 4327.76, 4560.22)"
maxQueueSize,"(10401.19, 9069.93, 9042.30)","(5482.28, 5289.69, 5428.20)","(3893.13, 4185.43, 4449.96)"
maxThreads,"(9562.83, 9003.04, 8605.27)","(5297.16, 5255.24, 5350.40)","(4256.93, 4372.22, 4414.33)"
SSLEnabled,"(8441.17, 'timeout')","(5460.77, 5489.21)","(4300.13, 'timeout')"
useVirtualThreads,"(8874.60, 'timeout')","(5689.04, 5542.28)","(4054.54, 4314.13)"
