name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.nodemanager.container-executor.class,281.2509642,10531.16283,280.4529796
yarn.federation.machine-list,278.2814283,10577.68791,295.7351324
yarn.nodemanager.aux-services,299.7543102,10635.00121,298.8746393
yarn.resourcemanager.ha.rm-ids,278.5457691,10036.34886,296.6028746
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.interval-seconds,289.3998892,10165.83738,288.2627211
yarn.nodemanager.recovery.enabled,275.5943688,240212.253,290.5173601
yarn.timeline-service.client.drain-entities.timeout.ms,289.4790067,10048.10234,285.8333237
yarn.nodemanager.resource.memory-mb,296.5476153,238537.3715,290.0739188
yarn.client.nodemanager-connect.max-wait-ms,291.0279094,10576.14269,277.8319796
yarn.client.nodemanager-connect.retry-interval-ms,285.5067012,10934.07013,287.1583877
yarn.nodemanager.resourcemanager.connect.max-wait.ms,321,242619.1844,260
yarn.nodemanager.resourcemanager.connect.retry-interval.ms,291.9787639,10156.95662,294.0704964
yarn.nodemanager.amrmproxy.enabled,282.6004228,10663.01742,300.6503358
yarn.client.max-cached-nodemanagers-proxies,276.1398193,10082.27757,278.7856274
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,288.9624848,10884.53292,295.8512904
yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.batch-size,279.2829763,10454.39076,289.2037086
yarn.resourcemanager.delegation-token-renewer.thread-timeout,298.7948494,11046.37039,280.3297319
yarn.resourcemanager.node-ip-cache.expiry-interval-secs,289.2450308,10086.07211,282.8625158
yarn.resourcemanager.scheduler.class,275.8374133,10415.18776,300.4300687
yarn.scheduler.minimum-allocation-mb,293.4231661,10982.29179,285.4164852
yarn.resourcemanager.ha.failover-controller.active-standby-elector.zk.retries,278.400865,10952.58544,299.7834302
yarn.nodemanager.container-manager.thread-count,288.0538852,10959.80584,281.8311884
yarn.nodemanager.opportunistic-containers-max-queue-length,283.821999,10191.47073,294.8696396
yarn.nodemanager.localizer.cache.target-size-mb,299.8771631,10681.01027,279.9033263
yarn.nodemanager.container-localizer.java.opts,289.4662371,10964.11641,278.4150631
yarn.nodemanager.container-monitor.resource-calculator.class,274.9582199,10309.92142,279.1044821
yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,277.6756967,10158.03344,417
yarn.nodemanager.runtime.linux.allowed-runtimes,278.3953176,10200.19514,289.6554397
yarn.nodemanager.runtime.linux.docker.delayed-removal.allowed,280.7370018,10403.18508,306.6840278
yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,292.4877317,240924.7337,303.3977214
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.local-hash-file,283.5821276,10309.34911,306.8766167
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.num-manifests-to-cache,294.1560198,10253.80132,282.775576
yarn.nodemanager.windows-container.memory-limit.enabled,282.9958606,10466.63248,287.4361847
yarn.nodemanager.windows-container.cpu-limit.enabled,291.3980055,10179.54844,299.2303623
yarn.nodemanager.aux-services.manifest.reload-ms,293.0401659,10675.93307,292.4692164
yarn.timeline-service.enabled,287.9771999,10411.02849,288.316815
yarn.timeline-service.store-class,294.2617255,10855.38263,296.5134906
yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,279.0740459,10307.69414,287.5148447
yarn.timeline-service.leveldb-timeline-store.read-cache-size,280.7690815,10440.3329,286.8135477
yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,284.3322208,10530.29694,298.243468
yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,279.9796744,10312.41413,297.7260006
yarn.timeline-service.entity-group-fs-store.cache-store-class,285.398475,10275.15731,302.3344238
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classpath,291.1289287,10971.56297,304.800621
yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,290.6482333,10978.86464,293.5003534
yarn.sharedcache.root-dir,289.1955605,10768.45038,287.0922439
yarn.sharedcache.store.class,299.565023,10131.52932,293.7987103
yarn.sharedcache.app-checker.class,287.9567847,10252.54264,303.8564066
yarn.sharedcache.admin.address,292.2302397,10328.77457,299.9937485
yarn.nodemanager.amrmproxy.ha.enable,293.5130002,10609.91603,280.1278366
yarn.resourcemanager.opportunistic.max.container-allocation.per.am.heartbeat,286.275255,10520.16912,281.4848496
yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,299.0554303,10172.71828,283.7522209
yarn.resourcemanager.nm-container-queuing.min-queue-length,277.0360388,273192.8404,303.4405098
yarn.nodemanager.opportunistic-containers-use-pause-for-preemption,293.3210686,10931.22302,289.2486334
yarn.nodemanager.container.stderr.tail.bytes,294.8231682,10508.98927,299.4294554
yarn.resourcemanager.webapp.rest-csrf.enabled,287.1576363,10148.27378,305.6020782
yarn.webapp.xfs-filter.enabled,287.9930119,10738.33302,301.0206717
yarn.router.pipeline.cache-max-size,279.3677468,10479.84537,299.6772529
yarn.timeline-service.entity-group-fs-store.with-user-dir,291.0388322,10522.78481,296.0773158
yarn.nodemanager.resource-plugins.gpu.path-to-discovery-executables,282.1594874,10729.41963,287.6435238
yarn.nodemanager.resource-plugins,294.5239346,10191.95132,283.2656601
yarn.webapp.enable-rest-app-submissions,414,220715.6017,457.0153531
yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,293.7162896,10211.21053,277.8014534
yarn.nodemanager.runtime.linux.docker.capabilities,286.1073092,10083.18674,280.1341748
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.hdfs-hash-file,294.8783008,10523.83297,287.3349566
yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-timeout-interval-secs,274.8969259,10706.8167,296.6957288
yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-size,296.3276031,10443.43178,280.4524558
yarn.scheduler.configuration.store.class,278.1148596,11004.38804,282.12227
yarn.scheduler.configuration.zk-store.parent-path,286.3273894,10932.14962,282.0383387
yarn.nodemanager.resource-plugins.fail-fast,301.5789307,10251.74741,299.0768186
yarn.resourcemanager.am.global.max-attempts,295.3061206,284546.6671,284.6434848
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled,295.9720322,10694.25154,281.779801
yarn.resourcemanager.metrics.runtime.buckets,275.1297817,10544.65113,281.7652271
yarn.log-aggregation.file-formats,292.0765943,10754.38762,296.0004361
yarn.log-aggregation.enable-local-cleanup,285.3977808,10316.88493,293.2709917
yarn.nodemanager.runtime.linux.docker.privileged-containers.acl,276.347967,10361.61477,301.9062015
yarn.scheduler.queue-placement-rules,287.4185409,11005.06051,278.492302
yarn.nodemanager.pluggable-device-framework.enabled,301.6461413,10194.09314,306.5729766
yarn.nodemanager.resource-plugins.gpu.allowed-gpu-devices,287.6053094,10411.96518,284.2879563
yarn.nodemanager.numa-awareness.read-topology,282.603624,10090.82619,277.7210065
yarn.nodemanager.container-metrics.enable,295.9701375,11007.20589,291.5706141
yarn.timeline-service.entity-group-fs-store.summary-store,274.3356706,10781.43998,283.529867
yarn.nodemanager.runtime.linux.runc.allowed-container-networks,274.8831867,10900.49195,287.3874041
yarn.nodemanager.runtime.linux.runc.allowed-container-runtimes,286.1450429,10762.69378,289.8265405
yarn.sharedcache.uploader.server.thread-count,279.2513053,10978.89276,299.6680195
yarn.sharedcache.client-server.address,291.9429468,10528.39091,298.4247048
yarn.sharedcache.client-server.thread-count,290.5201216,10241.66745,289.9332974
yarn.nodemanager.distributed-scheduling.enabled,299.1695344,10228.0956,284.4291483
yarn.resourcemanager.opportunistic-container-allocation.enabled,285.100762,10156.55955,302.1121237
yarn.router.webapp.address,275.0322742,10105.02166,292.6956507
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs,298.3805185,10426.03158,342.9461225
yarn.timeline-service.entity-group-fs-store.app-cache-size,290.4041574,10424.50208,282.116836
yarn.timeline-service.client.fd-flush-interval-secs,300.7631379,10027.41474,306.0702827
yarn.timeline-service.client.fd-clean-interval-secs,279.9309547,10281.35657,293.0566125
yarn.timeline-service.client.fd-retain-secs,302.4442819,10878.36691,302.3042259
yarn.timeline-service.writer.async.queue.capacity,289.5596209,10144.17861,277.71199
yarn.federation.cache-ttl.secs,275.5336258,10132.67094,282.8139847
yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms,301.069583,10971.10005,283.7064438
yarn.resourcemanager.application-timeouts.monitor.interval-ms,287.162818,10036.59498,306.6069698
yarn.resourcemanager.submission-preprocessor.enabled,291.5329611,10073.93743,291.4321412
yarn.sharedcache.enabled,283.3956297,10417.09317,305.4156476
yarn.sharedcache.cleaner.resource-sleep-ms,298.1559753,10930.65975,283.979784
yarn.nodemanager.disk-health-checker.enable,299.5223347,10487.3226,286.2901325
yarn.dispatcher.print-events-info.threshold,413,228771.9907,413
yarn.nodemanager.runtime.linux.sandbox-mode.policy,299.0472062,10607.8505,302.3721101
yarn.resourcemanager.hostname,282.300783,10476.43712,289.6152689
yarn.resourcemanager.state-store.max-completed-applications,284.2306726,10904.70962,300.5851743
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,274.4670598,10875.49874,353.3214652
yarn.nodemanager.env-whitelist,280.4297501,10429.355,288.5205385
yarn.nodemanager.container-state-transition-listener.classes,278.3723776,10126.79298,279.8148685
yarn.log-aggregation-status.time-out.ms,277.1523967,11055.04495,278.3952537
yarn.nodemanager.runtime.linux.sandbox-mode.whitelist-group,292.3257322,10288.71646,285.5437175
yarn.timeline-service.ui-names,284.7279964,10224.95921,285.8296184
yarn.nodemanager.amrmproxy.interceptor-class.pipeline,302.0847341,10211.70404,278.676378
yarn.webapp.filter-entity-list-by-user,276.9557562,10908.81249,295.0986623
yarn.webapp.filter-invalid-xml-chars,292.5162836,10189.60281,289.9412534
yarn.node-labels.exclusive-enforced-partitions,285.2195975,10016.52023,282.2538616
yarn.resourcemanager.scheduler.monitor.policies,301.9335186,10184.1686,279.9299886
yarn.nodemanager.process-kill-wait.ms,291.0615857,10317.48158,292.5788066
yarn.timeline-service.leveldb-timeline-store.path,284.800536,10033.59402,292.9997399
yarn.timeline-service.entity-group-fs-store.active-dir,290.2715873,10867.43382,290.1931429
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes,292.8463435,10555.00593,282.0618786
yarn.router.clientrm.interceptor-class.pipeline,291.6608168,10373.82007,298.3544503
yarn.router.rmadmin.interceptor-class.pipeline,293.4350005,11044.53052,306.715544
yarn.router.webapp.interceptor-class.pipeline,301.415342,10549.54533,292.7389266
yarn.nodemanager.pluggable-device-framework.device-classes,280.9459245,10268.62093,286.7467659
yarn.nodemanager.runtime.linux.docker.default-tmpfs-mounts,275.8727508,10390.72217,293.6761964
yarn.application.classpath,284.7033945,10282.84513,279.2546291
yarn.scheduler.configuration.store.max-logs,294.8479855,10967.30874,279.1350461
yarn.scheduler.configuration.max.version,280.9293748,10595.75777,284.7080936
yarn.client.load.resource-types.from-server,295.1040166,10677.94104,285.0462275
yarn.resourcemanager.ha.enabled,293.8004316,10492.19182,301.9180355
yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled,285.0778885,10233.04291,288.0906787
yarn.nodemanager.pmem-check-enabled,284.2829257,10957.59885,285.721028
yarn.nodemanager.vmem-check-enabled,286.7225953,10529.60425,296.6578826
yarn.nodemanager.recovery.dir,281.1869249,10805.58005,304.4331099
yarn.ipc.client.factory.class,276.6608656,10681.14115,285.8470302
yarn.ipc.server.factory.class,299.4246764,10221.53387,299.0179962
yarn.ipc.record.factory.class,290.9227992,10776.63828,303.4732158
yarn.resourcemanager.bind-host,294.4643644,10644.32099,290.8049621
yarn.resourcemanager.scheduler.address,287.7949922,10226.07479,293.8869044
yarn.http.policy,285.6038635,11003.42556,296.108928
yarn.resourcemanager.webapp.https.address,284.2980466,10293.49497,279.2899416
yarn.webapp.api-service.enable,286.0198629,10928.99349,286.6077634
yarn.web-proxy.principal,291.9766406,10622.27067,280.5442414
yarn.web-proxy.address,294.3916966,10917.50411,290.637486
yarn.web-proxy.bind-host,291.3712838,10104.41812,279.6922969
yarn.resourcemanager.proxy.timeout.enabled,298.0442035,10577.43211,290.6301403
yarn.timeline-service.hostname,293.7110772,10287.2338,287.9788073
yarn.timeline-service.address,292.5975088,10828.06484,290.1297527
yarn.timeline-service.webapp.address,291.5128212,10972.76761,287.3987521
yarn.timeline-service.webapp.https.address,294.6476983,10274.54496,290.6582165
yarn.timeline-service.bind-host,284.203025,10042.69704,290.8316508
yarn.timeline-service.principal,285.3125708,10985.32479,298.4028538
yarn.timeline-service.keytab,302.2725019,11013.82031,300.0151859
yarn.timeline-service.client.max-retries,296.702468,10776.01861,285.3814102
yarn.sharedcache.webapp.address,290.1015792,10260.81405,285.1971181
yarn.sharedcache.uploader.server.address,288.6496218,10140.41549,306.5158485
yarn.nodemanager.amrmproxy.address,299.8243978,11015.48335,280.1260667
yarn.timeline-service.http-cross-origin.enabled,284.8447271,10846.63839,306.4234407
yarn.router.bind-host,284.2643693,10987.57593,278.4767656
yarn.router.webapp.https.address,292.1899591,10952.88169,301.4055563
yarn.web-proxy.keytab,280.4382623,10101.09422,300.6861768
yarn.resourcemanager.application-https.policy,292.4073494,10950.79057,282.9089743
yarn.resourcemanager.recovery.enabled,282.9513752,10625.956,300.6635944
yarn.nodemanager.runtime.linux.docker.allowed-container-networks,295.1856582,10943.51256,294.5613291
